UC_NM_MN,XC_NM_LST,street_orientation_entropy,orientation_order_indicator,weighted_street_orientation_entropy,median_street_segment_length,average_circuity,average_node_degree,proportion_nodes_dead_ends,proportion_nodes_fourway_intersections,B15,NTL_AV,SDG_OS15MX,E_GR_AV14,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14
Guangzhou,China,3.533467411452119,0.0450399607268656,3.548061073231468,193.28295732040107,1.0573933460039715,4.482790405899335,0.1129105561992305,0.2258339147745821,2771.37182617,18.045572976,58.15,0.29503739616232,4.9999999999999996e-06,368.564111387,728.190112633,6590.62603638
Beijing,China,3.16304872925963,0.3461082060631871,3.234400792857663,191.686610798941,1.0535526530936243,4.638807120829829,0.1342339500981216,0.2331616204093075,1382.28771973,20.510690137,34.64,0.334018100003899,429.391078754,1643.42801776,39.8484186875,2112.6675152
Jakarta,Indonesia,3.4276515826229703,0.1368443403403663,3.4754354365904545,70.616165077675,1.074276088176262,4.862755470621395,0.2725201805879523,0.0832152722788235,1889.14111328,11.141954183,62.29,0.382078046168917,2376.97704386,2470.95395621,129.100233781,4977.03123385
Surabaya,Indonesia,3.3223743331616062,0.2235782581026818,3.358525518054289,77.47576428145574,1.0551067557574807,4.854632259624101,0.2604460022964888,0.0833504562760621,566.760375977,10.060002371,67.63,0.425959806502283,1108.47197375,578.737259625,52.7614381824,1739.97067156
Tokyo,Japan,3.5713719178521672,0.0110261320162602,3.575153753486023,68.76325228311595,1.0519987220678946,5.464046458052116,0.1435019964823623,0.1596935717727523,3664.91235352,20.773301443,31.08,0.332728978644726,1374.31441444,3247.27285246,684.751839658,5306.33910656
Osaka [Kyoto],Japan,3.437879664163759,0.1281731058387342,3.4714823571257925,69.84335513392276,1.057231319228773,5.44324268562677,0.1476543219673224,0.1665879748291924,2113.33789062,18.636477208,33.08,0.316844582379516,972.991974517,1502.98314488,673.111862229,3149.08698163
Quezon City [Manila],Philippines,3.546116874571571,0.0337550631651974,3.55370871141501,85.37818043138705,1.067352740308324,5.1430407819385175,0.2062258611804353,0.1279683148136353,644.360412598,11.253875626,68.26,0.353754529397396,1014.76900735,848.7025258,154.248431075,2017.71996422
Ho Chi Minh City,Vietnam,3.561713569706472,0.0197496151988617,3.5644171200336827,86.23648544438669,1.0504663610964422,4.648991531126939,0.31349489268985,0.0844954990371737,617.356384277,14.733641708,57.92,0.374210579324239,571.539541999,830.402934597,55.4039331037,1457.3464097
Seoul,South Korea,3.5609280997038213,0.020457357657508,3.5634121247310526,108.18150091770931,1.052206726557599,5.490699129234287,0.0963882277652743,0.2171952859289725,1079.2911377,34.21942477,55.93,0.347323726198286,985.982391766,1364.61445856,94.8409514836,2445.43780181
Singapore,Singapore;Malaysia,3.5599529913428904,0.0213356168843403,3.564306655685661,111.77403766214606,1.0736666501868437,4.408364945044257,0.1335862270207178,0.1650228576986674,296.665588379,47.116190395,66.25,0.33622304138293,132.428411667,658.257427019,82.9317457549,873.617584441
New Taipei [Taipei],Taiwan,3.5432558718520224,0.0363132348928109,3.5562331119001795,146.12406270984184,1.0605832035812546,4.872474020454608,0.1580433769296153,0.2475665597323901,379.624420166,30.79571689,62.56,0.323080488980427,410.12117615,535.730826816,64.2342853912,1010.08628836
Bangkok,Thailand,3.492164514714509,0.0814257172865549,3.489436947646457,86.5759234780155,1.0575158978680232,4.3423800784022815,0.3875413274670179,0.085580630927334,1045.68457031,21.247606966,59.28,0.391078645674333,505.383244745,2032.7127428,14.2238342701,2552.31982182
Kuala Lumpur,Malaysia,3.468270869543541,0.1021521368414706,3.49625384332521,107.0729633680548,1.0879086745429627,4.536395999928442,0.1882502370346518,0.0942771784826204,783.204956055,37.821681359,41.02,0.368465175446673,263.732277427,1047.6179144,9.9118302473,1321.26202208
Sydney,Australia,3.4659518311949027,0.1041511834255614,3.445799904950998,118.60939682583948,1.0596807080696444,4.644437440907659,0.1845824141191301,0.0921525370312007,921.579467773,17.236119071,34.87,0.42818445623906,472.886221991,837.775735945,41.7484911289,1352.41044906
Melbourne,Australia,3.236516155311765,0.2909143636451207,3.127469973856686,90.62501087159308,1.0423012183933582,4.389467554199194,0.1623285197225355,0.0922621022136712,1141.57263184,17.236491131,29.1,0.402524714482842,368.315674692,1172.38106373,66.1078422745,1606.8045807
Auckland,New Zealand,3.570916412839312,0.0114384154145127,3.570858199042833,109.54691912479711,1.0674902928810086,4.535338082958171,0.186896280431837,0.0793740985182918,254.246490479,16.680869477,44.49,0.46993903507925,187.884658232,245.246004404,23.2303148806,456.360977517
Delhi [New Delhi],India,3.3940613208838157,0.1650168533212654,3.454660057821937,73.85731453677923,1.0387709579954156,5.343879648186681,0.1649188761377127,0.1514961001825446,1212.72961426,28.24663559,50.98,0.316456335431552,444.240995254,1928.7059496,91.81785775,2464.7785043
Mumbai,India,3.528722626228646,0.0492558053062407,3.5397187307168267,111.08666506709838,1.060612312728251,4.713807768641905,0.2011719119175881,0.1553539363009167,364.170318604,21.113853908,66.19,0.341853263468574,286.491143069,715.234452717,68.5423537983,1070.26794958
