UC_NM_MN,XC_NM_LST,street_orientation_entropy,orientation_order_indicator,weighted_street_orientation_entropy,median_street_segment_length,average_circuity,average_node_degree,proportion_nodes_dead_ends,proportion_nodes_fourway_intersections,ID_HDC_G0,QA2_1V,AREA,BBX_LATMN,BBX_LONMN,BBX_LATMX,BBX_LONMX,GCPNT_LAT,GCPNT_LON,CTR_MN_NM,CTR_MN_ISO,XBRDR,XCTR_NBR,XC_ISO_LST,GRGN_L1,GRGN_L2,UC_NM_LST,UC_NM_SRC,H75_NBR,H90_NBR,H00_NBR,H75_AREA,H90_AREA,H00_AREA,E_BM_NM_LST,E_SL_LST,EL_AV_ALS,E_KG_NM_LST,E_RB_NM_LST,E_WR_P_90,E_WR_P_00,E_WR_P_14,E_WR_T_90,E_WR_T_00,E_WR_T_14,B75,B90,B00,B15,P75,P90,P00,P15,BUCAP75,BUCAP90,BUCAP00,BUCAP15,NTL_AV,GDP90_SM,GDP00_SM,GDP15_SM,INCM_CMI,DEV_CMI,TT2CC,E_GR_AV90,E_GR_AV00,E_GR_AV14,E_GR_AH90,E_GR_AM90,E_GR_AL90,E_GR_AT90,E_GR_AH00,E_GR_AM00,E_GR_AL00,E_GR_AT00,E_GR_AH14,E_GR_AM14,E_GR_AL14,E_GR_AT14,E_EC2E_E75,E_EC2E_E90,E_EC2E_E00,E_EC2E_E15,E_EC2E_R75,E_EC2E_R90,E_EC2E_R00,E_EC2E_R15,E_EC2E_I75,E_EC2E_I90,E_EC2E_I00,E_EC2E_I15,E_EC2E_T75,E_EC2E_T90,E_EC2E_T00,E_EC2E_T15,E_EC2E_A75,E_EC2E_A90,E_EC2E_A00,E_EC2E_A15,E_EC2O_E75,E_EC2O_E90,E_EC2O_E00,E_EC2O_E15,E_EC2O_R75,E_EC2O_R90,E_EC2O_R00,E_EC2O_R15,E_EC2O_I75,E_EC2O_I90,E_EC2O_I00,E_EC2O_I15,E_EC2O_T75,E_EC2O_T90,E_EC2O_T00,E_EC2O_T15,E_EC2O_A75,E_EC2O_A90,E_EC2O_A00,E_EC2O_A15,E_EPM2_E75,E_EPM2_E90,E_EPM2_E00,E_EPM2_E15,E_EPM2_R75,E_EPM2_R90,E_EPM2_R00,E_EPM2_R15,E_EPM2_I75,E_EPM2_I90,E_EPM2_I00,E_EPM2_I15,E_EPM2_T75,E_EPM2_T90,E_EPM2_T00,E_EPM2_T15,E_EPM2_A75,E_EPM2_A90,E_EPM2_A00,E_EPM2_A15,E_CPM2_T00,E_CPM2_T05,E_CPM2_T10,E_CPM2_T14,EX_FD_AREA,EX_FD_B75,EX_FD_B90,EX_FD_B00,EX_FD_B15,EX_FD_P75,EX_FD_P90,EX_FD_P00,EX_FD_P15,EX_SS_AREA,EX_SS_B75,EX_SS_B90,EX_SS_B00,EX_SS_B15,EX_SS_P75,EX_SS_P90,EX_SS_P00,EX_SS_P15,EX_EQ19PGA,EX_EQ19MMI,EX_EQ19_Q,EX_HW_IDX,SDG_LUE9015,SDG_A2G14,SDG_OS15MX,geometry
Guangzhou,China,3.533467411452119,0.045039961,3.548061073231468,193.28295732040107,1.0573933460039715,4.482790405899335,0.1129105561992305,0.2258339147745821,12080,1,6622,22.44593904,112.7636082,23.38063477,114.4086413,22.63353449,113.997383,China,CHN,0,1,CHN,Asia,Eastern Asia,Guangzhou; Shenzhen; Dongguan; Foshan; Jiangmen; Futian; Baoan; Pānyú; Shunde; Haizhu; Tianhe; Huangpu; Longgang; Luohu; Liwan; Yuexiu; Baiyun; Nanshan; Pingshan; Longhua; Guangming; 黄埔区; 高明区; 南海区; 禅城区; Xinhui; 蓬江区; 江海区,GISCO OSM,21,9,5,2258,4016,5354,Tropical and Subtropical Moist Broadleaf Forests,Anthrosols,21.06768105,"Mild temperate with dry winter, and  Hot summer",Bei Jiang,1519.049988,2065.150024,1929.500031,22.8226161,23.17563868,22.92160892,966.7411499,1429.277222,2469.502441,2771.371826,12719281.34,21524393.25,28542178.66,40589878.1,76.00595696,66.40267185,86.52116121,68.2774119,18.04557298,33730125824,63016669184,2.91849E+11,UMIC,LDC,1254.6592293690535,0.36582206,0.293445727,0.295037396,5e-06,297.2683751,1712.165806,6534.831317,5e-06,537.8565709,490.1370191,6569.565549,5e-06,368.5641114,728.1901126,6590.626036,8275984.845,18590004.98,44271665.3,118799044.3,4304827.635,10327421.92,9400905.51,24914961,10905014.79,21100478.46,29535390.37,89839132.78,1710742.419,3154457.661,8368960.388,25044500.12,2215.5731,4747.4277389790695,6024.310159,6101.965262,,,1447266.165,764694.7085,5274962.866,4084786.22,2698397.262,702866.3637,,,,,,,,192060.0383,15149.5888,23415.52408,24451.45286,32716.09639,15048.74386,29212.58888,26816.32853,26642.47584,35958.60081,54008.93041,37260.31131,60550.74584,22472.57929,43594.92087,49116.63894,131113.6339,817.0974642,2035.721248,8110.53415,10044.29557,358.6214531,499.5221611,646.9855286,819.5186837,41.1386,51.6229,43.25422,37.3452,3500,679.4371338,819.2205811,1300.101929,1430.618164,6372768.201,10260557.03,13019386.58,17639953.08,1202,116.2218018,264.0114136,451.600708,511.2230225,2372636.491,4404565.807,6106345.273,9606936.976,0.067381,4,available,7.173870087,1.0439,0.034978122,58.15,POINT (113.997382998 22.633534493)
Beijing,China,3.163048729,0.3461082060631871,3.234400792857663,191.6866108,1.0535526530936243,4.638807120829829,0.1342339500981216,0.2331616204093075,10687,1,2115,39.62999679,115.8891137,40.18439868,116.746338,39.89899941,116.3498742,China,CHN,0,1,CHN,Asia,Eastern Asia,Beijing; Chaoyang; Daxing; Dongcheng; Fengtai; Fangshan; Haidian; Mentougou; Shijingshan; Tongzhou; Xicheng,GISCO OSM,2,1,2,861,1480,1702,Temperate Broadleaf and Mixed Forests,Fluvisols,51.88195267,"Steppe (semi-arid), and  Cold arid",Yongding He,542.6000214,358.5250092,476.5000153,12.82699966,13.23247957,13.12889647,835.4084473,1245.804321,1320.619141,1382.28772,3387578.996,7074952.724,10640695.34,17982667.65,246.6092889,176.0865931,124.1102295,76.86777884,20.51069014,28247609344,71005634560,3.51488E+11,UMIC,LDC,0,0.368232554,0.364165271,0.3340181,632.611227,1307.687512,172.3687766,2112.667515,828.7935578,1199.421679,84.45227838,2112.667515,429.3910788,1643.428018,39.84841869,2112.667515,2361096.821,3677997.002,7309794.292,21599565.07,1066402.635,3076338.308,3126217.693,9600246.946,2876844.597,7936704.339,11378710.25,35291688.55,1217706.796,1783113.133,3518271.83,11350604.85,480.1130128,2772.142556,4169.131825,4059.300843,,,29131.1,73022.43079,1316374.751,1161917.566,1004228.681,287863.5078,,,,,,,,84385.43376,3717.38603,6617.452836,6833.628317,10685.38471,4958.77897,5432.697023,4763.307413,4848.305229,8993.889745,16036.5525,12905.58811,23475.51513,5642.445397,15372.74773,17874.53708,48604.67372,689.9207772,1032.926472,3648.710906,4295.298648,41.20912171,68.53007208,89.93284233,126.6317296,64.87002,72.74544,75.10986,81.2366,345,171.1889038,225.8603668,236.6371613,245.4534454,456071.4158,948518.8582,1425040.33,2411065.112,0,0,0,0,0,0,0,0,0,0.225373,6,available,5.18103981,0.11144,0.058242797,34.64,POINT (116.3498742 39.8989994115)
Jakarta,Indonesia,3.4276515826229703,0.1368443403403663,3.4754354365904545,70.61616508,1.074276088176262,4.862755470621395,0.2725201805879523,0.083215272,11862,1,5009,-6.978192201,106.0958194,-6.013376777,107.592606,-6.380746725,106.852957,Indonesia,IDN,0,1,IDN,Asia,South-Eastern Asia,Jakarta; Bekasi; Tangerang; Depok; South Tangerang; Bogor; Serang; Sukabumi; Karawang; Cianjur,GISCO OSM,10,8,5,2482,3498,4127,Tropical and Subtropical Moist Broadleaf Forests,Nitisols,142.9871018,Tropical rain forest,NAN,2125.175049,2156.900085,1984.825073,27.42184496,27.7363162,27.9862361,1448.1604,1471.339355,1793.658447,1889.141113,12824942.98,20458287.62,26260542.07,36312538.77,112.9174923,71.91898866,68.30241518,52.02448458,11.14195418,1.08118E+11,1.78505E+11,4.27282E+11,LMIC,LDC,0,0.394412977,0.412131676,0.382078046,1573.851786,3234.78891,168.3905376,4975.706348,2374.160877,2509.095192,93.77516396,4977.031234,2376.977044,2470.953956,129.1002338,4977.031234,162832.3272,699365.2683,2442404.664,10826525.68,1004566.037,2324410.578,4656706.471,3316027.718,1197416.628,6479730.905,13475490.43,22338132.14,1329539.262,3452123.433,6638801.467,14071041.37,5809.99724,29900.71825,33220.14006,41136.31026,,,92.55825923,121575.0465,4191114.823,3572227.086,3187908.029,2487626.995,,3618232.019,4794070.913,4445155.019,,,,343082.4998,1089004.171,1745199.343,1975055.924,2656228.039,19.31358701,358.3931699,715.3148649,1551.014942,14785.24639,14196.58098,13916.36496,12738.42754,1114.731801,15838.11655,22280.25093,29441.38566,1057.249159,2833.898282,5594.857125,8985.8997,4248.37705,6954.350052,7986.98967,11157.75697,34.35734,25.06836,18.68348,21.28645,260,38.18702316,44.02132797,59.21019363,62.88536835,349840.6475,513719.4078,680557.3884,886529.7725,672,301.1314087,301.1314087,331.5938721,341.325592,3222309.022,4674467.489,5568020.531,6889067.68,0.280107,6,available,32.12099838,0.43562,0.202927971,62.29,POINT (106.852957037 -6.38074672455)
Surabaya,Indonesia,3.3223743331616062,0.2235782581026818,3.358525518054289,77.47576428145574,1.0551067557574807,4.854632259624101,0.2604460022964888,0.083350456,12610,1,1751,-8.219804031,112.4669877,-7.18908992,112.8344005,-7.628561821,112.6697063,Indonesia,IDN,0,1,IDN,Asia,South-Eastern Asia,Surabaya; Malang; Batu,GISCO OSM,4,3,2,816,1168,1521,Tropical and Subtropical Moist Broadleaf Forests,Fluvisols,212.4327996,Tropical savannah with dry winter,Brantas,2423.050049,2597.550049,2437.125031,25.61547518,25.70564985,26.09047031,252.2445679,354.3195801,515.0546265,566.760376,5212289.72,6735395.294,7545605.517,8352589.504,48.39419553,52.6056103,68.25888596,67.85445109,10.06000237,23282397184,33788250112,67299065856,LMIC,LDC,393.0783751754749,,0.383578369,0.425959807,0,0,0,0,738.0275411,955.353366,46.58976444,1739.676908,1108.471974,578.7372596,52.76143818,1739.970672,9460.329851,198874.8466,724847.9088,2767693.441,859721.7101,1592128.76,2737898.654,1558737.303,827039.3612,2696044.897,5194569.309,7624762.992,905280.4385,2355626.838,4543440.732,10115689.88,2884.216932,13767.88317,16890.84841,20437.9254,,,,26964.43231,3526868.287,2779573.402,2300705.858,1972531.978,,2485377.901,2835746.827,2098108.738,,,,230051.1288,589268.7597,967346.7408,1092656.614,1527738.023,1.122092061,310.5671657,593.1421374,690.4942898,12442.74383,10581.90515,9392.030314,8811.029554,868.6696581,10127.30649,11282.75714,11012.42495,742.0354285,1963.602011,3905.435962,6754.024903,2266.203424,3690.175279,4182.102932,5860.325656,21.96226,16.6174,13.31426,14.52875,466,64.5059433,82.14328003,119.6837311,137.5127411,922346.3338,1320231.721,1639591.261,2115314.047,373,105.0194702,139.5317993,180.4503784,189.4015961,2017142.226,2585188.715,2794029.658,2986273.625,0.222027,6,available,20.33679962,2.1828,0.300637524,67.63,POINT (112.669706284 -7.62856182083)
Tokyo,Japan,3.5713719178521672,0.011026132,3.575153753486023,68.76325228311595,1.0519987220678946,5.464046458052116,0.1435019964823623,0.1596935717727523,12964,1,5318,35.17261064,139.0858307,36.18783429,140.2917729,35.68148131,139.649416,Japan,JPN,0,1,JPN,Asia,Eastern Asia,Tokyo; Yokohama; Kawasaki; Saitama; Chiba; Setagaya; Nerima; Ota; Sagamihara; Edogawa; Adachi; Funabashi; Itabashi; Kawaguchi; Hachiōji; Suginami; Koto; Ichikawa; Katsushika; Machida; Fujisawa; Kashiwa; Shinagawa; Kita; Koshigaya; Tokorozawa; Kawagoe; Nak,GISCO OSM,2,4,3,4444,4932,5210,Temperate Broadleaf and Mixed Forests,Andosols,38.44552921,"Mild temperate, fully humid, and  Hot summer",Tone,1643.675018,1395.350037,1505.350037,15.43113589,15.6668005,15.55223775,2852.811768,3280.33252,3568.17749,3664.912354,22541604.59,27406702.07,29965512.56,33028731.22,126.5576173,119.6908884,119.0761374,110.9613424,20.77330144,8.1434E+11,8.19242E+11,1.00776E+12,HIC,MDR,0,0.244299456,0.317686927,0.332728979,168.3834018,3800.526476,1337.429229,5277.372922,884.1907582,3787.750482,634.3978661,5302.641274,1374.314414,3247.272852,684.7518397,5306.339107,42123238.85,73549808.49,97561138.04,134100481.1,23332581.5,28985228.32,36825450.22,32078110.69,56157652.92,60299822.71,56518110.92,46768505.43,6542382.88,11230812.9,13889460.65,12076761.87,269.639139,454.6234252,418.5674422,382.510785,,4582154.83,4878782.976,13739768.49,2479270.43,2549416.94,2640596.447,1741707.101,,1814840.365,1787733.907,1675409.377,,,,1.522637043,1082.634848,2425.894684,1825.906157,2267.510482,1906.444764,4435.208879,4078.323001,3248.787131,4291.267195,23899.20143,10424.20833,2648.643978,16015.88718,18693.67085,13326.10939,10704.84012,2592.033715,4412.411355,2637.73438,1226.887521,73.40047679,94.68030776,81.59914167,86.3393663,15.38934,16.39116,14.25362,15.6589,564,195.8232574,247.057312,289.8934937,310.422699,1131669.433,1359170.851,1461641.95,1554398.741,1780,1017.352112,1114.418823,1167.029663,1187.640503,7812793.828,9380011.735,10186365.22,11216840.46,0.7691300000000001,8,available,3.930380106,0.59413,0.10400579,31.08,POINT (139.649415997 35.6814813096)
Osaka [Kyoto],Japan,3.437879664163759,0.1281731058387342,3.4714823571257925,69.84335513392276,1.057231319228773,5.443242686,0.1476543219673224,0.1665879748291924,12858,1,3158,34.30993463,134.5097839,35.08531684,135.8778859,34.70012803,135.4198332,Japan,JPN,0,1,JPN,Asia,Eastern Asia,Osaka; Kobe; Kyoto; Himeji; Higashiosaka; Nishinomiya; Amagasaki; Hirakata; Toyonaka; Suita; Nara; Takatsuki; Akashi; Ibaraki; Yao; Kakogawa; Neyagawa; Itami; Kishiwada; Izumi; Kawanishi; Moriguchi; Minoh; Kashihara; Kadoma; Daito; Matsubara; Ikoma; Tonda,GISCO OSM,3,2,1,2808,3006,3107,Temperate Broadleaf and Mixed Forests,Fluvisols,52.24364456,"Mild temperate, fully humid, and  Hot summer",Yodo,1521.299988,1189.975037,1408.525024,15.65926266,15.96264219,15.82635117,1908.975464,1990.009277,2083.48584,2113.337891,13928631.62,15359857.16,15696264.33,15692797.39,137.0540564,129.5591005,132.7376881,134.6692905,18.63647721,3.24193E+11,3.46911E+11,3.76025E+11,HIC,MDR,217.5621042,0.269681268,0.298557203,0.316844582,420.8990213,1869.860893,858.3270676,3147.417502,704.3357476,1770.80223,673.9490036,3149.074115,972.9919745,1502.983145,673.1118622,3149.086982,16461768.11,25590195.77,31409653.55,31238400.04,13685988,15812976.1,18608165.17,14780568.92,28299435.59,32578950.43,29395726.88,23899392.61,3557401.303,6257737.908,7674243.866,6513248.817,6344.526903,20798.00263,16595.04764,136473.4286,,845732.3183,900481.1659,1200182.355,1132838.853,1164785.223,1206677.358,795892.1858,,1924110.81,1895372.588,1776285.283,,,,1.200698612,613.8465317,1123.681494,885.5343665,1002.776647,969.4969574,1569.564194,1250.229609,558.9226342,2543.781669,11179.37244,4891.160887,1217.263331,8498.091457,12035.9949,9028.915524,6505.902458,1496.734815,2558.343665,1583.655293,748.0956984,38.39286486,45.81522974,39.62687663,40.94759391,15.66482,17.1863,14.54758,17.01595,582,458.4115906,463.6845093,473.3612061,475.945282,4213835.96,4666691.572,4797093.995,4827406.276,1686,1039.499512,1074.335938,1125.393921,1137.452515,7801683.169,8649262.204,8852126.523,8896362.348,0.414886,7,available,11.52449989,2.804,0.111860825,33.08,POINT (135.419833246 34.7001280298)
Quezon City [Manila],Philippines,3.546116874571571,0.033755063,3.553708711,85.37818043138705,1.067352740308324,5.1430407819385175,0.2062258611804353,0.1279683148136353,12829,1,2030,14.0211355,120.7885354,14.98738606,121.297028,14.55191389,121.0191782,Philippines,PHL,0,1,PHL,Asia,South-Eastern Asia,Quezon City; Manila; Caloocan; Taguig; Antipolo; Pasig; Paranaque; Dasmarinas; Valenzuela; Bacoor; Las Pinas; Makati; San Jose del Monte; Muntinlupa; Calamba; Marikina; Pasay; Imus; Mandaluyong; Malabon; Santa Rosa; Biñan; San Pedro; General Trias; Cabuya,GISCO OSM,6,7,6,738,1373,1776,Tropical and Subtropical Moist Broadleaf Forests,Vertisols,49.12065989,Tropical monsoon,NAN,3142.225098,3556.925049,3152.050049,26.15585709,26.12109566,26.2647028,527.8700562,571.6166992,611.3486328,644.3604126,5310035.933,12220121.82,16638130.91,21691140.92,99.409884,46.77667766,36.74382874,29.70615584,11.25387563,91103338496,93752819712,1.97788E+11,LMIC,LDC,0,0.364465767,0.343484126,0.353754529,871.5412657,950.0843996,196.0942989,2011.979566,913.734764,984.6889391,119.2962611,2017.719964,1014.769007,848.7025258,154.2484311,2017.719964,33243.04258,116129.2823,700038.9804,356397.7451,385244.5772,717863.9591,1659647.686,1929686.597,4039195.431,5054702.403,6618515.878,9090195.089,1667845.97,1991920.538,3602570.997,4638368.988,1216.780437,3421.601396,4335.483536,4576.399748,,33183.04464,,2175.300785,2067913.706,1006871.688,370514.6441,168497.0747,260182.3583,1098647.582,1262895.276,2323387.139,,,,235474.0723,397602.6288,458326.2006,558680.9322,731537.6169,3.760108085,243.6396784,516.0025943,41.65905679,7363.459661,5183.001419,3409.91316,3341.199098,4183.42037,9624.474118,9695.057198,19128.74441,894.1977401,1222.686554,2412.258942,1957.771241,1598.948937,1876.241811,2312.055155,3041.373837,24.28844,21.31302,19.2411,18.39635,16,1.574443936,1.821152925,2.118169069,2.206539392,17332.13568,39889.46997,53008.5907,61797.36267,1206,377.9047852,403.9296265,423.6964111,440.7838135,4112533.334,9087334.921,12028439.85,15049413.44,0.674891,8,preliminary,11.43050003,0.20876,0.1841786413019999,68.26,POINT (121.019178204 14.5519138853)
Ho Chi Minh City,Vietnam,3.561713569706472,0.019749615,3.5644171200336827,86.23648544438669,1.0504663610964422,4.648991531126939,0.313494893,0.084495499,11800,1,1467,10.57746471,106.4558015,11.10680218,107.0334365,10.85184777,106.712677,Vietnam,VNM,0,1,VNM,Asia,South-Eastern Asia,Ho Chi Minh City; Thu Dau Mot City; Gia Dinh; Bien Hoa City,GISCO OSM,2,3,3,449,770,1054,Tropical and Subtropical Dry Broadleaf Forests,Fluvisols,13.51274055,Tropical savannah with dry winter,NAN,1992.050018,1815.825043,1984,27.65466452,27.8983407,28.08570194,315.5758972,389.0712585,573.6682129,617.3563843,1929665.433,4404508.117,6757433.776,11488340.15,163.5391772,88.33478068,84.89438919,53.73764847,14.73364171,41362391040,37069172736,90272301056,LMIC,LDC,1110.3853507775368,0.426495001,0.416712571,0.374210579,173.9481481,1258.806154,24.59210785,1457.34641,705.6638825,729.1046236,22.5779036,1457.34641,571.539542,830.4029346,55.4039331,1457.34641,374554.1888,3077743.007,6028519.902,3739547.808,317871.5129,243818.0438,1056905.634,2569364.791,46031.93077,922166.9014,3571363.373,14989706.59,476779.2231,689172.279,1308355.765,3388276.746,4647.472954,13215.56648,28322.1085,67844.49529,,,,2715.710078,742573.8156,1121688.817,931259.1158,560132.946,626532.966,1463987.609,2254599.027,2914613.868,,,,,376538.2342,582609.6648,907954.2379,1129255.279,1003.328283,1474.497672,2115.557496,6348.578618,2637.395982,4485.570739,5383.268732,7960.824996,2223.278824,5678.908445,10289.37495,24367.19108,270.2457436,343.6356579,770.6700028,1779.915072,1470.37072,2253.457867,3493.626412,4338.537421,18.45646,18.21998,15.297,16.1972,823,112.7397156,156.6346741,263.2437134,281.6711426,838905.6642,1963646.961,3056174.888,4958403.078,50,2.745634317,4.870433331,14.48727703,14.69382381,32077.24892,75463.08988,122526.3046,193790.7922,0.01545,3,preliminary,9.897749901,0.48157,0.119735511,57.92,POINT (106.712677015 10.8518477684)
Seoul,South Korea,3.5609280997038213,0.020457358,3.5634121247310526,108.18150091770931,1.052206726557599,5.490699129234287,0.096388228,0.2171952859289725,12389,1,2449,37.04938904,126.573249,37.76426915,127.2550092,37.47555477,126.9243735,South Korea,KOR,0,1,KOR,Asia,Eastern Asia,Seoul; Incheon; Suwon-si; Goyang; Seongnam-si; Bucheon-si; Ansan-si; Namyangju-si; Anyang-si; Uijeongbu-si; Siheung-si; Gimpo-si; Gwangmyeong-si; Gunpo-si; Hanam-si; Yangju-si; Guri-si; Osan; Uiwang; Gwacheon-si,GISCO OSM,6,3,3,1349,1689,2011,Temperate Broadleaf and Mixed Forests,Acrisols,53.82958231,"Mild temperate with dry winter, and  Hot summer",Han-Gang (Han River),1256.025024,1270.475006,1114.750015,12.21420765,12.49535179,12.47091508,763.1747437,820.0597534,984.888916,1079.291138,13100210.2,17365096.78,19256801.07,21600841.03,58.25667924,47.22460022,51.14499094,49.96523682,34.21942477,1.77973E+11,2.83635E+11,4.83881E+11,HIC,LDC,0,0.261081361,0.309416829,0.347323726,646.0267403,1326.365888,473.0451739,2423.16275,1021.216505,1235.751169,188.4701278,2445.363149,985.9823918,1364.614459,94.84095148,2445.437802,765720.0649,17241666.84,31194113.54,24165455.68,11670615.39,27912718.03,28859141.92,24846955.85,10700916.34,26301691.01,38557915.81,28768657.29,719613.7342,3846967.605,7492863.324,10081933.47,13449.31359,8070.162193,5486.612183,3262.673905,,,205915.044,150217.4507,,115311.5389,32489.73186,135081.2721,,12109.07326,229261.9945,1188502.892,,,,129091.3317,7682.914107,4760.142741,2875.215929,2634.603503,64.88183985,568.2442672,2395.518378,592.6414973,24989.40293,39759.63322,9007.818127,5775.725513,2282.893444,9851.862996,20920.39304,16482.48498,299.0106882,1629.611645,2283.160096,1656.111692,75.34302213,93.61805666,103.5495326,130.3868743,31.52836,29.8633,27.68218,34.03035,462,195.4641266,198.323288,224.0761871,236.3130341,3861037.581,4820283.162,5204160.732,5268134.533,646,155.4944611,186.8813782,236.2799988,254.8658447,1921440.191,2853171.998,3411681.696,4062612.398,,,missing,12.67500019,1.2585,0.113978955,55.93,POINT (126.924373493 37.475554766)
Singapore,Singapore;Malaysia,3.5599529913428904,0.021335617,3.564306655685661,111.77403766214606,1.0736666501868437,4.408364945044257,0.1335862270207178,0.1650228576986674,11498,1,879,1.253628582,103.5827865,1.609529246,103.9858056,1.391134069,103.8850508,Singapore,SGP,1,2,SGP; MYS,Asia,South-Eastern Asia,Singapore; Johor Bahru; Pasir Gudang,GISCO OSM,2,3,2,462,629,736,Tropical and Subtropical Moist Broadleaf Forests,Acrisols,21.28671498,Tropical rain forest,NAN,2196.675018,2287.550049,2154.075043,27.24719191,27.64616251,27.8230319,258.0924988,258.0924988,284.7172852,296.6655884,2563411.755,3600474.879,4777838.777,6920918.425,100.6832001,71.68290501,59.5912291,42.8650607,47.1161904,1.18352E+11,1.78974E+11,4.04066E+11,HIC,LDC,0,0.350026061,0.293458178,0.336223041,216.0295605,549.9199243,107.6680997,870.7513343,47.14153864,735.9506597,90.52538615,873.6175844,132.4284117,658.257427,82.93174575,873.6175844,5222118.548,22087267.88,37277122.19,24037345.83,254388.509,1367173.997,898071.9186,1429601.514,2156126.734,5525929.857,10365750.08,21694948.28,2430061.786,5313605.865,7819572.394,11401468.5,380.1589524,2007.068215,1907.252842,1876.661581,,222783.394,641789.5802,2005007.988,123724.0523,76251.21912,61256.87633,34699.00765,27599.6187,52281.61806,76523.19853,,,,,75704.89056,1510.804517,1480.549626,1308.420971,362.1133072,617.3039758,2815.008827,4627.223263,5704.718206,467.2874808,1736.836997,2129.087786,2852.753235,1028.49926,1793.862964,2442.469329,5773.289641,1458.595403,3470.532558,4277.301504,3190.074343,109.0501369,50.4236802,45.47225415,65.21008587,24.11752,27.98032,17.0222,23.8616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,available,14.34630013,0.21315,0.068422338,66.25,POINT (103.885050818 1.39113406877)
